rank,name,confed,off,def,spi
195,San Marino,UEFA,0.31,3.1,4.52
196,Cambodia,AFC,0.29,3.32,3.62
197,Bonaire,CONCACAF,0.36,3.6,3.46
198,Turks and Caicos Islands,CONCACAF,0.7,4.49,3.44
199,Anguilla,CONCACAF,0.42,3.83,3.27
200,Guadeloupe,CONCACAF,0.24,3.62,2.5
201,Brunei,AFC,0.25,3.86,2.05
202,Bhutan,AFC,0.27,4.03,1.94
203,Laos,AFC,0.29,4.14,1.86
204,Sri Lanka,AFC,0.21,3.92,1.77
205,US Virgin Islands,CONCACAF,0.39,4.56,1.73
206,St. Martin,CONCACAF,0.2,4.05,1.53
207,Sint Maarten,CONCACAF,0.2,4.25,1.29
208,Timor-Leste,AFC,0.25,4.79,0.94
209,Guam,AFC,0.29,5.04,0.88
210,Tuvalu,OFC,0.38,5.62,0.7
211,Macau,AFC,0.2,5.75,0.34
212,Samoa,OFC,0.2,5.78,0.34
213,Tonga,OFC,0.2,6.08,0.26
